Creating 1 workers...
Opening file... beginning processing...
	 Frame 2320,	Number of micelles: 12
	 Frame 2330,	Number of micelles: 13
	 Frame 2340,	Number of micelles: 15
	 Frame 2350,	Number of micelles: 13
	 Frame 2360,	Number of micelles: 12
	 Frame 2370,	Number of micelles: 12
	 Frame 2380,	Number of micelles: 10
	 Frame 2390,	Number of micelles: 24
	 Frame 2400,	Number of micelles: 14
	 Frame 2410,	Number of micelles: 17
	 Frame 2420,	Number of micelles: 14
	 Frame 2430,	Number of micelles: 15
	 Frame 2440,	Number of micelles: 15
	 Frame 2450,	Number of micelles: 13
	 Frame 2460,	Number of micelles: 16
	 Frame 2470,	Number of micelles: 16
	 Frame 2480,	Number of micelles: 8
	 Frame 2490,	Number of micelles: 13
	 Frame 2500,	Number of micelles: 13
	 Frame 2510,	Number of micelles: 11
	 Frame 2520,	Number of micelles: 14
	 Frame 2530,	Number of micelles: 14
	 Frame 2540,	Number of micelles: 7
	 Frame 2550,	Number of micelles: 9
	 Frame 2560,	Number of micelles: 10
	 Frame 2570,	Number of micelles: 9
	 Frame 2580,	Number of micelles: 9
	 Frame 2590,	Number of micelles: 7
	 Frame 2600,	Number of micelles: 7
	 Frame 2610,	Number of micelles: 9
	 Frame 2620,	Number of micelles: 11
	 Frame 2630,	Number of micelles: 9
	 Frame 2640,	Number of micelles: 15
	 Frame 2650,	Number of micelles: 17
	 Frame 2660,	Number of micelles: 13
	 Frame 2670,	Number of micelles: 10
	 Frame 2680,	Number of micelles: 10
	 Frame 2690,	Number of micelles: 14
	 Frame 2700,	Number of micelles: 9
	 Frame 2710,	Number of micelles: 7
	 Frame 2720,	Number of micelles: 10
	 Frame 2730,	Number of micelles: 17
	 Frame 2740,	Number of micelles: 15
	 Frame 2750,	Number of micelles: 13
	 Frame 2760,	Number of micelles: 16
	 Frame 2770,	Number of micelles: 15
	 Frame 2780,	Number of micelles: 11
	 Frame 2790,	Number of micelles: 11
	 Frame 2800,	Number of micelles: 10
	 Frame 2810,	Number of micelles: 11
	 Frame 2820,	Number of micelles: 11
	 Frame 2830,	Number of micelles: 9
	 Frame 2840,	Number of micelles: 15
	 Frame 2850,	Number of micelles: 15
	 Frame 2860,	Number of micelles: 13
	 Frame 2870,	Number of micelles: 11
	 Frame 2880,	Number of micelles: 10
	 Frame 2890,	Number of micelles: 10
	 Frame 2900,	Number of micelles: 8
	 Frame 2910,	Number of micelles: 7
	 Frame 2920,	Number of micelles: 7
	 Frame 2930,	Number of micelles: 15
	 Frame 2940,	Number of micelles: 11
	 Frame 2950,	Number of micelles: 14
	 Frame 2960,	Number of micelles: 12
	 Frame 2970,	Number of micelles: 10
	 Frame 2980,	Number of micelles: 12
	 Frame 2990,	Number of micelles: 10
	 Frame 3000,	Number of micelles: 10
	 Frame 3010,	Number of micelles: 13
	 Frame 3020,	Number of micelles: 11
	 Frame 3030,	Number of micelles: 11
	 Frame 3040,	Number of micelles: 14
	 Frame 3050,	Number of micelles: 12
	 Frame 3060,	Number of micelles: 10
	 Frame 3070,	Number of micelles: 11
	 Frame 3080,	Number of micelles: 14
	 Frame 3090,	Number of micelles: 14
	 Frame 3100,	Number of micelles: 13
	 Frame 3110,	Number of micelles: 11
	 Frame 3120,	Number of micelles: 8
	 Frame 3130,	Number of micelles: 10
	 Frame 3140,	Number of micelles: 9
	 Frame 3150,	Number of micelles: 13
	 Frame 3160,	Number of micelles: 12
	 Frame 3170,	Number of micelles: 12
	 Frame 3180,	Number of micelles: 10
	 Frame 3190,	Number of micelles: 13
	 Frame 3200,	Number of micelles: 9
	 Frame 3210,	Number of micelles: 11
	 Frame 3220,	Number of micelles: 15
	 Frame 3230,	Number of micelles: 13
	 Frame 3240,	Number of micelles: 12
	 Frame 3250,	Number of micelles: 14
	 Frame 3260,	Number of micelles: 9
	 Frame 3270,	Number of micelles: 14
	 Frame 3280,	Number of micelles: 12
	 Frame 3290,	Number of micelles: 12
	 Frame 3300,	Number of micelles: 13
	 Frame 3310,	Number of micelles: 9
	 Frame 3320,	Number of micelles: 13
	 Frame 3330,	Number of micelles: 16
	 Frame 3340,	Number of micelles: 11
	 Frame 3350,	Number of micelles: 9
	 Frame 3360,	Number of micelles: 12
	 Frame 3370,	Number of micelles: 21
	 Frame 3380,	Number of micelles: 11
	 Frame 3390,	Number of micelles: 10
	 Frame 3400,	Number of micelles: 12
	 Frame 3410,	Number of micelles: 9
	 Frame 3420,	Number of micelles: 9
	 Frame 3430,	Number of micelles: 7
	 Frame 3440,	Number of micelles: 10
	 Frame 3450,	Number of micelles: 8
	 Frame 3460,	Number of micelles: 9
	 Frame 3470,	Number of micelles: 9
	 Frame 3480,	Number of micelles: 9
	 Frame 3490,	Number of micelles: 10
	 Frame 3500,	Number of micelles: 11
	 Frame 3510,	Number of micelles: 11
	 Frame 3520,	Number of micelles: 10
	 Frame 3530,	Number of micelles: 11
	 Frame 3540,	Number of micelles: 9
	 Frame 3550,	Number of micelles: 15
	 Frame 3560,	Number of micelles: 14
	 Frame 3570,	Number of micelles: 18
	 Frame 3580,	Number of micelles: 12
	 Frame 3590,	Number of micelles: 14
	 Frame 3600,	Number of micelles: 10
	 Frame 3610,	Number of micelles: 12
	 Frame 3620,	Number of micelles: 7
	 Frame 3630,	Number of micelles: 9
	 Frame 3640,	Number of micelles: 9
	 Frame 3650,	Number of micelles: 13
	 Frame 3660,	Number of micelles: 15
	 Frame 3670,	Number of micelles: 19
	 Frame 3680,	Number of micelles: 13
	 Frame 3690,	Number of micelles: 13
	 Frame 3700,	Number of micelles: 15
	 Frame 3710,	Number of micelles: 16
	 Frame 3720,	Number of micelles: 15
	 Frame 3730,	Number of micelles: 12
	 Frame 3740,	Number of micelles: 18
	 Frame 3750,	Number of micelles: 16
	 Frame 3760,	Number of micelles: 12
	 Frame 3770,	Number of micelles: 12
	 Frame 3780,	Number of micelles: 15
	 Frame 3790,	Number of micelles: 9
	 Frame 3800,	Number of micelles: 13
	 Frame 3810,	Number of micelles: 12
	 Frame 3820,	Number of micelles: 11
	 Frame 3830,	Number of micelles: 11
	 Frame 3840,	Number of micelles: 11
	 Frame 3850,	Number of micelles: 9
	 Frame 3860,	Number of micelles: 12
	 Frame 3870,	Number of micelles: 12
	 Frame 3880,	Number of micelles: 10
	 Frame 3890,	Number of micelles: 11
	 Frame 3900,	Number of micelles: 9
	 Frame 3910,	Number of micelles: 9
	 Frame 3920,	Number of micelles: 9
	 Frame 3930,	Number of micelles: 13
	 Frame 3940,	Number of micelles: 14
	 Frame 3950,	Number of micelles: 9
	 Frame 3960,	Number of micelles: 11
	 Frame 3970,	Number of micelles: 14
	 Frame 3980,	Number of micelles: 17
	 Frame 3990,	Number of micelles: 15
	 Frame 4000,	Number of micelles: 25
	 Frame 4010,	Number of micelles: 15
	 Frame 4020,	Number of micelles: 13
	 Frame 4030,	Number of micelles: 18
	 Frame 4040,	Number of micelles: 17
	 Frame 4050,	Number of micelles: 18
	 Frame 4060,	Number of micelles: 17
	 Frame 4070,	Number of micelles: 17
	 Frame 4080,	Number of micelles: 18
	 Frame 4090,	Number of micelles: 24
	 Frame 4100,	Number of micelles: 20
	 Frame 4110,	Number of micelles: 21
	 Frame 4120,	Number of micelles: 14
	 Frame 4130,	Number of micelles: 18
	 Frame 4140,	Number of micelles: 15
	 Frame 4150,	Number of micelles: 16
	 Frame 4160,	Number of micelles: 16
	 Frame 4170,	Number of micelles: 24
	 Frame 4180,	Number of micelles: 17
	 Frame 4190,	Number of micelles: 11
	 Frame 4200,	Number of micelles: 18
	 Frame 4210,	Number of micelles: 18
	 Frame 4220,	Number of micelles: 15
	 Frame 4230,	Number of micelles: 25
	 Frame 4240,	Number of micelles: 17
	 Frame 4250,	Number of micelles: 17
	 Frame 4260,	Number of micelles: 22
	 Frame 4270,	Number of micelles: 15
	 Frame 4280,	Number of micelles: 14
