   Cores     AvgAgg     AvgDistCores     Stem     Petal
 227          1   117.0000     0.0000     1.0000     0.0000
 228          1   117.0000     0.0000     1.0000     0.0000
 229          1   116.0000     0.0000     1.0000     0.0000
 230          1   117.0000     0.0000     1.0000     0.0000
 231          1   116.0000     0.0000     1.0000     0.0000
 232          1   117.0000     0.0000     1.0000     0.0000
 233          1   117.0000     0.0000     1.0000     0.0000
 234          1   117.0000     0.0000     1.0000     0.0000
 235          1   116.0000     0.0000     1.0000     0.0000
 236          1   117.0000     0.0000     1.0000     0.0000
 237          1   116.0000     0.0000     1.0000     0.0000
 238          1   117.0000     0.0000     1.0000     0.0000
 239          1   117.0000     0.0000     1.0000     0.0000
 240          1   117.0000     0.0000     1.0000     0.0000
 241          1   117.0000     0.0000     1.0000     0.0000
 242          1   117.0000     0.0000     1.0000     0.0000
 243          1   117.0000     0.0000     1.0000     0.0000
 244          1   117.0000     0.0000     1.0000     0.0000
 245          1   117.0000     0.0000     1.0000     0.0000
 246          1   116.0000     0.0000     1.0000     0.0000
 247          1   117.0000     0.0000     1.0000     0.0000
 248          1   117.0000     0.0000     1.0000     0.0000
 249          1   116.0000     0.0000     1.0000     0.0000
 250          1   117.0000     0.0000     1.0000     0.0000
 251          1   117.0000     0.0000     1.0000     0.0000
 252          1   117.0000     0.0000     1.0000     0.0000
 253          1   117.0000     0.0000     1.0000     0.0000
 254          1   116.0000     0.0000     1.0000     0.0000
 255          1   117.0000     0.0000     1.0000     0.0000
 256          1   117.0000     0.0000     1.0000     0.0000
 257          1   117.0000     0.0000     1.0000     0.0000
 258          1   116.0000     0.0000     1.0000     0.0000
 259          1   117.0000     0.0000     1.0000     0.0000
 260          1   117.0000     0.0000     1.0000     0.0000
 261          1   117.0000     0.0000     1.0000     0.0000
 262          1   117.0000     0.0000     1.0000     0.0000
 263          1   116.0000     0.0000     1.0000     0.0000
 264          1   117.0000     0.0000     1.0000     0.0000
 265          1   116.0000     0.0000     1.0000     0.0000
 266          1   117.0000     0.0000     1.0000     0.0000
 267          1   117.0000     0.0000     1.0000     0.0000
 268          1   117.0000     0.0000     1.0000     0.0000
 269          1   117.0000     0.0000     1.0000     0.0000
 270          1   117.0000     0.0000     1.0000     0.0000
 271          1   117.0000     0.0000     1.0000     0.0000
 272          1   117.0000     0.0000     1.0000     0.0000
 273          1   117.0000     0.0000     1.0000     0.0000
 274          1   117.0000     0.0000     1.0000     0.0000
 275          1   117.0000     0.0000     1.0000     0.0000
 276          1   117.0000     0.0000     1.0000     0.0000
 277          1   117.0000     0.0000     1.0000     0.0000
 278          1   117.0000     0.0000     1.0000     0.0000
 279          1   117.0000     0.0000     1.0000     0.0000
 280          1   117.0000     0.0000     1.0000     0.0000
 281          1   116.0000     0.0000     1.0000     0.0000
 282          1   117.0000     0.0000     1.0000     0.0000
 283          1   116.0000     0.0000     1.0000     0.0000
 284          1   116.0000     0.0000     1.0000     0.0000
 285          1   117.0000     0.0000     1.0000     0.0000
 286          1   117.0000     0.0000     1.0000     0.0000
 287          1   116.0000     0.0000     1.0000     0.0000
 288          1   115.0000     0.0000     1.0000     0.0000
 289          1   117.0000     0.0000     1.0000     0.0000
 290          1   117.0000     0.0000     1.0000     0.0000
 291          1   117.0000     0.0000     1.0000     0.0000
 292          1   116.0000     0.0000     1.0000     0.0000
 293          1   117.0000     0.0000     1.0000     0.0000
 294          1   117.0000     0.0000     1.0000     0.0000
 295          1   117.0000     0.0000     1.0000     0.0000
 296          2    58.5000     0.0000     1.0000     0.0000
 297          1   116.0000     0.0000     1.0000     0.0000
 298          1   117.0000     0.0000     1.0000     0.0000
 299          1   117.0000     0.0000     1.0000     0.0000
 300          1   117.0000     0.0000     1.0000     0.0000
 301          1   116.0000     0.0000     1.0000     0.0000
 302          1   116.0000     0.0000     1.0000     0.0000
 303          1   117.0000     0.0000     1.0000     0.0000
 304          1   117.0000     0.0000     1.0000     0.0000
 305          1   116.0000     0.0000     1.0000     0.0000
 306          1   117.0000     0.0000     1.0000     0.0000
 307          1   117.0000     0.0000     1.0000     0.0000
 308          1   116.0000     0.0000     1.0000     0.0000
 309          1   117.0000     0.0000     1.0000     0.0000
 310          1   116.0000     0.0000     1.0000     0.0000
 311          1   117.0000     0.0000     1.0000     0.0000
 312          1   117.0000     0.0000     1.0000     0.0000
 313          1   117.0000     0.0000     1.0000     0.0000
 314          1   117.0000     0.0000     1.0000     0.0000
 315          1   117.0000     0.0000     1.0000     0.0000
 316          1   117.0000     0.0000     1.0000     0.0000
 317          1   116.0000     0.0000     1.0000     0.0000
 318          1   116.0000     0.0000     1.0000     0.0000
 319          1   114.0000     0.0000     1.0000     0.0000
 320          1   117.0000     0.0000     1.0000     0.0000
 321          1   116.0000     0.0000     1.0000     0.0000
 322          1   117.0000     0.0000     1.0000     0.0000
